FIPS,GEO_ID,NAME,NumHouseholds,Broadband,EP_POV150,RUCC_2013,Description,Metro_Nonmetro,prop_broadband,State,County_Name
37159,0500000US37159,"Rowan County, North Carolina",54137,45136,26.5,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.833736631,NC,Rowan County
37161,0500000US37161,"Rutherford County, North Carolina",27525,20531,31,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.745903724,NC,Rutherford County
37163,0500000US37163,"Sampson County, North Carolina",23162,16749,32.4,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.723124083,NC,Sampson County
37165,0500000US37165,"Scotland County, North Carolina",12951,8759,40.3,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.676318431,NC,Scotland County
37167,0500000US37167,"Stanly County, North Carolina",23849,19641,21.6,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.823556543,NC,Stanly County
37169,0500000US37169,"Stokes County, North Carolina",19608,14475,23.6,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.738219094,NC,Stokes County
37171,0500000US37171,"Surry County, North Carolina",29001,19930,29.8,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.687217682,NC,Surry County
37173,0500000US37173,"Swain County, North Carolina",5741,3821,31.1,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.665563491,NC,Swain County
37175,0500000US37175,"Transylvania County, North Carolina",14648,12285,24.8,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.838681049,NC,Transylvania County
37177,0500000US37177,"Tyrrell County, North Carolina",1652,1094,30.2,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Rural,0.662227603,NC,Tyrrell County
37179,0500000US37179,"Union County, North Carolina",77791,71317,14.2,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.916777005,NC,Union County
37181,0500000US37181,"Vance County, North Carolina",16895,12580,34,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.744598994,NC,Vance County
37183,0500000US37183,"Wake County, North Carolina",410552,382287,14.6,1,Metro - Counties in metro areas of 1 million population or more,Urban,0.931153666,NC,Wake County
37185,0500000US37185,"Warren County, North Carolina",8122,5283,34.4,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.650455553,NC,Warren County
37187,0500000US37187,"Washington County, North Carolina",5237,3438,36.3,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Rural,0.656482719,NC,Washington County
37189,0500000US37189,"Watauga County, North Carolina",21453,18109,34.1,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Rural,0.844124365,NC,Watauga County
37191,0500000US37191,"Wayne County, North Carolina",48198,40329,29.8,3,"Metro - Counties in metro areas of fewer than 250,000 population",Urban,0.836735964,NC,Wayne County
37193,0500000US37193,"Wilkes County, North Carolina",28902,22996,27.6,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Rural,0.79565428,NC,Wilkes County
37195,0500000US37195,"Wilson County, North Carolina",31968,24419,34.9,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Rural,0.763857608,NC,Wilson County
37197,0500000US37197,"Yadkin County, North Carolina",15247,11531,26.4,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Urban,0.756279924,NC,Yadkin County
37199,0500000US37199,"Yancey County, North Carolina",7466,5647,25.6,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Rural,0.756362175,NC,Yancey County
